model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,fips,bin_name,repetition,fold,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
xgboost,69,17,39,7.441916227340698,0.0026540756225585938,0.015532757140871878,111934.31847426473,209573.22661892124,43920937315.46572,1011,small,6,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.012118601040280928,400.0,0.7021206527288635,0.9746794612579917,9.0,0.1487215185476101,0.14709782072118024,0.014619530235615113,7.37407112121582
tabpfn,68,18,39,0.272505521774292,0.13572978973388672,-0.15606943717569255,43550.799479166664,63399.88057032451,4019544856.3314114,1011,small,7,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,68,18,39,5.3657166957855225,0.002536296844482422,-0.8740121729404409,48814.15657552082,80720.28444089589,6515764320.21914,1011,small,7,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.030369071183923263,200.0,0.7072849490491689,0.8303068815269233,8.0,0.1734075036613793,2.247576953087669,0.011406439763726213,5.331594228744507
tabpfn,69,17,39,0.27264952659606934,0.13372015953063965,0.7804852076809137,44489.69037224267,96536.68881133998,9319332286.657494,1011,small,7,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.372992277145386,0.002642393112182617,0.41001947572265796,70175.3298483456,158262.98062760377,25047171037.13329,1011,small,7,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.10211423846066824,500.0,0.8747929460563375,0.9051902795144742,9.0,0.07556943158263679,0.34406858650199457,0.032340276127585145,6.30865740776062
tabpfn,69,17,39,0.2732253074645996,0.13787436485290527,0.529470789177813,85445.9370404412,120339.25009176251,14481535112.647764,1011,small,7,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,7.62026834487915,0.0026175975799560547,0.44651106256340245,89277.10719209562,130517.41942226543,17034796772.64755,1011,small,7,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.02692655251486473,350.0,0.7418481581956126,0.7876433945605654,5.0,0.08168455894760163,3.7183641805732095,0.028804169778805514,7.561225891113281
tabpfn,69,17,39,0.26761555671691895,0.13622784614562988,0.40719016585781853,118861.3986672795,215190.81889286218,46307088535.78061,1011,small,7,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,7.3747398853302,0.0026464462280273438,0.2937941605993969,121485.14430147067,234872.2404796635,55164969347.93689,1011,small,7,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.014755626040096973,450.0,0.8523934204071895,0.7006023053602587,9.0,0.27051054607061187,3.0265440537370703,0.21573771920650017,7.2994465827941895
tabpfn,69,17,39,0.5412132740020752,0.13470983505249023,0.3521860530355557,93126.63499540447,191721.13952515513,36756995340.824,1011,small,7,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,4.9298200607299805,0.0025103092193603516,0.568717272221861,76252.09053308825,156432.1043505593,24471003271.544273,1011,small,7,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.12067909202964491,150.0,0.7032967567731313,0.8138853499346864,8.0,0.14048679739777356,0.9923168506004812,1.7773635761045465,4.90256667137146
tabpfn,68,18,39,0.27968716621398926,0.13431167602539062,0.4294870528410021,118687.724717882,219040.085447039,47978559032.64614,1011,small,8,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,68,18,39,5.7309253215789795,0.0025832653045654297,0.6853723564411727,102414.04622395839,162663.19060885554,26459313579.052868,1011,small,8,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.21823230016510578,250.0,0.7055849372189086,0.9446055788415697,6.0,0.10900336730830362,2.393655430575251,0.06673093351450181,5.692639112472534
tabpfn,69,17,39,0.2687375545501709,0.13430190086364746,0.5063270704385601,77662.9100413603,149463.16140131952,22339236616.07689,1011,small,8,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,4.951131582260132,0.002569437026977539,0.11351901514569329,102623.93336397059,200285.36652858846,40114228045.49103,1011,small,8,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.22999586428143728,50.0,0.7587948587257435,0.7135681866731614,5.0,0.05989003672254302,0.34889766548903667,0.8071418522169698,4.933560848236084
tabpfn,69,17,39,0.26900267601013184,0.13413023948669434,0.824124046577881,37865.686121323546,54488.89660127685,2969039852.8246403,1011,small,8,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.925755023956299,0.0026204586029052734,0.8123985478395437,30295.8971737132,56275.95569536138,3166983189.426277,1011,small,8,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.017652293813637025,300.0,0.7014056895877535,0.9164409974096344,9.0,0.1626254273541107,0.11335431394085062,0.010723233615838115,6.87234091758728
tabpfn,69,17,39,0.26613712310791016,0.13505172729492188,0.7362844232546353,71122.54561121327,107535.19576900467,11563818329.07816,1011,small,8,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
