model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
xgboost,50,39011,69,6.305215835571289,0.011309146881103516,0.18870373460448353,176446.45032951442,294895.79441659094,86963529564.59225,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.22999586428143728,50.0,0.7587948587257435,0.7135681866731614,5.0,0.05989003672254302,0.34889766548903667,0.8071418522169698,5.83041787147522
xgboost,50,39011,69,8.07256269454956,0.013112545013427734,-0.004901804603357984,187829.02814390493,328201.5695760129,107716270272.15845,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.10480552870127591,350.0,0.9966636936152068,0.8743632256458567,5.0,0.08675810638413568,0.26069388971632634,0.997044752327022,8.016778707504272
xgboost,50,39011,69,6.070127964019775,0.008427858352661133,0.02643155900090699,186292.2086226481,323044.301379526,104357620653.78603,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,5.0,0.07148373686208129,100.0,0.9871607850270422,0.8480391520789617,10.0,0.45102012246312606,6.29925041572211,0.9809416277408252,6.042385101318359
xgboost,50,39011,69,7.581811904907227,0.02085399627685547,0.01744469923127312,192312.25199182602,324531.86240618996,105320929716.8302,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.010226850463381672,300.0,0.7135517799691706,0.9690803432796697,9.0,0.04245242251613522,0.2825688544595727,0.04391398432263473,7.5233845710754395
xgboost,50,39011,69,7.433008670806885,0.01575160026550293,0.16121731395656458,182896.76643346588,299849.6658818556,89909822129.46042,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,3.0,0.09219362353487963,250.0,0.9722639338386402,0.8745273692727957,4.0,0.18974583754056037,1.851189242212763,0.015009479156781594,7.385627269744873
xgboost,50,39011,69,5.4676690101623535,0.008896350860595703,0.04221647820286434,185400.74366765143,320414.7653872881,102665621878.19089,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,2.0,0.02738178987987806,50.0,0.8819360434041764,0.8047648803859692,7.0,0.6386245928563278,0.13703586093874806,0.018557904743773314,5.444890260696411
xgboost,50,39011,69,9.27663779258728,0.021677494049072266,0.28047805307731766,169288.05578354502,277715.97562987276,77126163120.05208,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.023238160952885455,450.0,0.8929138202903348,0.8731212000933604,3.0,0.02554551942245556,0.2497206423265255,0.29403244310211996,9.204616069793701
xgboost,50,39011,69,7.411711692810059,0.011932611465454102,-0.07593131973959633,194593.65380958255,339602.6851865624,115329983785.92343,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,5.0,0.05454721080122585,300.0,0.9534485851317277,0.7687839970546131,9.0,0.6305822796328905,4.891925298703473,0.6988634959620849,7.361291885375977
xgboost,50,39011,69,9.072567224502563,0.022298097610473633,0.20233476417924023,174083.3431059509,292407.9479615576,85502408031.08897,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,4.0,0.01221946998535424,350.0,0.7532602094617785,0.8601904379975739,9.0,0.730119929238012,0.1283050890749458,0.04497847373375745,9.006848573684692
xgboost,50,39011,69,7.4997358322143555,0.01732778549194336,0.33545829615869105,165783.72065250826,266894.70692895737,71232784586.69403,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,2.0,0.03521601327053677,500.0,0.9699543161721303,0.7759562474209342,9.0,0.5677979469758103,5.06319705535473,0.24137111529433067,7.4252190589904785
